Date,Arima_Close,Lstm_Close,Sarima_Close
21-02-2024,1013.1829519356726,1076.9279,1013.632325794302
22-02-2024,1014.8443708147414,1065.1635,1017.1626067363242
23-02-2024,1015.1632774001876,1052.7517,1016.5453105481362
26-02-2024,1015.2363580611236,1026.0011,1016.1518369887189
27-02-2024,1014.5446726175744,1019.78546,1015.92828361797
28-02-2024,1014.9669671218728,1014.345,1019.4448856112843
29-02-2024,1015.4075841305108,1009.49585,1019.9819973549093
01-03-2024,1014.878354460646,1005.12415,1023.9014170071885
04-03-2024,1014.6192750412372,994.24384,1027.968383732723
05-03-2024,1015.2361293575036,991.2295,1027.0404864329312
06-03-2024,1015.2668643539208,988.47296,1024.8472418631306
07-03-2024,1014.65410124022,985.9509,1022.7501714906558
08-03-2024,1014.8415511455506,983.64264,1022.6003716379522
11-03-2024,1015.3742180499,977.8201,1025.06425084075
12-03-2024,1015.0012768648382,976.195,1024.54008817682
13-03-2024,1014.6132176503183,974.7054,1024.8775156587124
14-03-2024,1015.1159427387424,973.33954,1024.4724353077952
15-03-2024,1015.3164764399806,972.08704,1027.32371601415
18-03-2024,1014.753565808524,968.9171,1026.8877984263625
19-03-2024,1014.75781433408,968.0296,1031.2776516056229
20-03-2024,1015.3066928741708,967.215,1035.358724079136
21-03-2024,1015.1072119025708,966.4672,1035.8501769967468
22-03-2024,1014.6415292197344,965.7807,1033.9476909000634
25-03-2024,1015.0022942574976,964.04,1032.9254809530278
26-03-2024,1015.3292357748924,963.55176,1032.7818626004
27-03-2024,1014.8601470709808,963.10333,1035.2815384955993
28-03-2024,1014.7074096930754,962.6914,1034.783085605167
29-03-2024,1015.2204195446768,962.3129,1035.0419581519247
01-04-2024,1015.1871971693608,961.35236,1034.6693821712297
02-04-2024,1014.6974197627546,961.0827,1037.554665494972
03-04-2024,1014.9041983664346,960.8349,1037.2013845081035
04-04-2024,1015.3094972774752,960.60724,1041.5480576922405
05-04-2024,1014.9630854915928,960.398,1045.6347854249432
08-04-2024,1014.6900769098504,959.86646,1046.0170898783738
09-04-2024,1015.1259387007484,959.71716,1044.0972449027936
10-04-2024,1015.2377669770854,959.57996,1042.993236467731
11-04-2024,1014.7718032059154,959.45386,1042.8514951783193
12-04-2024,1014.8282827326274,959.33795,1045.3467578468235
15-04-2024,1015.2637839707965,959.0435,1044.8477961545166
16-04-2024,1015.053580514599,958.96075,1045.1113686917718
17-04-2024,1014.702569417079,958.8847,1044.7372224518033
18-04-2024,1015.033010697853,958.81476,1047.6193905177863
19-04-2024,1015.2586222281084,958.7505,1047.2605329805424
